,XVal,YVal,ZVal,time
5167,-6.47,-7.75,-1.96,9.800783634185791
5168,-6.28,-7.75,-2.16,9.802778005599976
5169,-6.28,-7.75,-2.16,9.8057701587677
5170,-6.47,-7.75,-1.96,9.8057701587677
5171,-6.28,-7.75,-1.96,9.807765007019043
5172,-6.47,-7.75,-1.96,9.808762311935425
5173,-6.28,-7.75,-2.16,9.810757160186768
5174,-6.47,-7.75,-2.16,9.813748359680176
5175,-6.28,-7.75,-1.96,9.813748359680176
5176,-6.28,-7.75,-2.16,9.8167405128479
5177,-6.28,-7.85,-2.16,9.8167405128479
5178,-6.28,-7.75,-1.96,9.818735599517822
5179,-6.47,-7.75,-2.16,9.821727514266968
5180,-6.47,-7.75,-2.16,9.821727514266968
5181,-6.47,-7.75,-2.16,9.824718952178955
5182,-6.47,-7.75,-2.16,9.824718952178955
5183,-6.28,-7.75,-2.16,9.827711343765259
5184,-6.28,-7.75,-2.16,9.827711343765259
5185,-6.47,-7.75,-1.96,9.830703735351562
5186,-6.47,-7.75,-1.96,9.832698106765747
5187,-6.47,-7.75,-1.96,9.832698106765747
5188,-6.28,-7.75,-2.16,9.83569049835205
5189,-6.47,-7.75,-2.16,9.836687803268433
5190,-6.28,-7.75,-2.16,9.838682651519775
5191,-6.28,-7.75,-1.96,9.840678930282593
5192,-6.28,-7.85,-2.16,9.840678930282593
5193,-6.28,-7.75,-1.96,9.843668699264526
5194,-6.28,-7.75,-1.96,9.843668699264526
5195,-6.47,-7.75,-1.96,9.84666109085083
5196,-6.47,-7.75,-1.96,9.848655462265015
5197,-6.47,-7.85,-1.96,9.849652528762817
5198,-6.47,-7.75,-2.16,9.85164761543274
5199,-6.47,-7.75,-2.16,9.8526451587677
5200,-6.28,-7.75,-2.16,9.854639530181885
5201,-6.28,-7.75,-2.16,9.857631206512451
5202,-6.47,-7.75,-1.96,9.857631206512451
5203,-6.47,-7.75,-1.96,9.859626054763794
5204,-6.28,-7.75,-1.96,9.860624074935913
5205,-6.47,-7.75,-2.16,9.862619400024414
5206,-6.47,-7.75,-2.16,9.865610361099243
5207,-6.28,-7.75,-2.16,9.866608142852783
5208,-6.28,-7.75,-2.16,9.867604970932007
5209,-6.28,-7.75,-2.16,9.868602275848389
5210,-6.28,-7.75,-2.16,9.870596885681152
5211,-6.47,-7.75,-2.16,9.873588800430298
5212,-6.47,-7.75,-2.16,9.873588800430298
5213,-6.47,-7.75,-2.16,9.876580476760864
5214,-6.47,-7.75,-2.16,9.876580476760864
5215,-6.28,-7.75,-2.16,9.878575325012207
5216,-6.28,-7.75,-2.16,9.879573345184326
5217,-6.47,-7.75,-2.16,9.881568431854248
5218,-6.28,-7.75,-1.96,9.884559392929077
5219,-6.28,-7.75,-1.96,9.884559392929077
5220,-6.28,-7.75,-2.16,9.88655424118042
5221,-6.47,-7.75,-1.96,9.88755178451538
5222,-6.47,-7.75,-1.96,9.889546155929565
5223,-6.47,-7.75,-2.16,9.892538070678711
5224,-6.47,-7.75,-2.16,9.892538070678711
5225,-6.28,-7.75,-2.16,9.895530700683594
5226,-6.47,-7.75,-2.16,9.895530700683594
5227,-6.28,-7.75,-2.16,9.89852237701416
5228,-6.28,-7.75,-1.96,9.900518655776978
5229,-6.28,-7.75,-2.16,9.901516199111938
5230,-6.28,-7.75,-1.96,9.90350890159607
5231,-6.28,-7.75,-1.96,9.90350890159607
5232,-6.28,-7.85,-2.16,9.906500577926636
5233,-6.28,-7.75,-1.96,9.908495903015137
5234,-6.28,-7.75,-1.96,9.909493207931519
