,XVal,YVal,ZVal
526,-6.96,-7.45,-1.57
527,-6.96,-7.26,-1.57
528,-6.96,-7.45,-1.47
529,-6.96,-7.45,-1.47
530,-6.96,-7.45,-1.47
531,-6.86,-7.26,-1.47
532,-6.86,-7.45,-1.47
533,-6.86,-7.45,-1.47
534,-6.86,-7.45,-1.47
535,-6.96,-7.45,-1.47
536,-6.96,-7.45,-1.47
537,-6.96,-7.55,-1.47
538,-6.86,-7.45,-1.47
539,-6.96,-7.45,-1.57
540,-6.96,-7.45,-1.57
541,-6.96,-7.45,-1.57
542,-6.96,-7.45,-1.57
543,-6.96,-7.45,-1.57
544,-6.86,-7.45,-1.57
545,-6.96,-7.45,-1.47
546,-6.96,-7.45,-1.47
547,-6.96,-7.45,-1.47
548,-6.86,-7.45,-1.47
549,-6.96,-7.45,-1.47
550,-6.96,-7.26,-1.47
551,-6.96,-7.26,-1.47
552,-6.96,-7.45,-1.47
553,-6.86,-7.45,-1.47
554,-6.96,-7.45,-1.47
555,-6.96,-7.45,-1.47
556,-6.96,-7.45,-1.47
557,-6.96,-7.45,-1.47
558,-6.86,-7.45,-1.47
559,-6.86,-7.45,-1.47
560,-6.96,-7.45,-1.47
561,-6.96,-7.45,-1.47
562,-6.96,-7.45,-1.47
563,-6.96,-7.45,-1.47
564,-6.96,-7.45,-1.47
565,-6.96,-7.45,-1.47
566,-6.96,-7.45,-1.57
567,-6.96,-7.45,-1.47
568,-6.96,-7.45,-1.47
569,-6.86,-7.45,-1.47
570,-6.86,-7.45,-1.47
571,-6.86,-7.45,-1.47
572,-6.86,-7.45,-1.57
573,-6.86,-7.45,-1.47
574,-6.96,-7.45,-1.47
575,-6.96,-7.45,-1.47
576,-6.86,-7.45,-1.47
577,-6.86,-7.45,-1.47
578,-6.86,-7.45,-1.47
579,-6.96,-7.45,-1.47
580,-6.96,-7.26,-1.47
581,-6.96,-7.26,-1.47
582,-6.96,-7.45,-1.47
583,-6.96,-7.45,-1.57
584,-6.96,-7.45,-1.47
585,-6.86,-7.45,-1.47
586,-6.86,-7.45,-1.47
587,-6.86,-7.45,-1.47
588,-6.96,-7.45,-1.57
589,-6.96,-7.45,-1.57
590,-6.96,-7.45,-1.57
591,-6.86,-7.45,-1.47
592,-6.96,-7.45,-1.47
593,-6.86,-7.45,-1.47
594,-6.96,-7.45,-1.47
595,-6.86,-7.45,-1.47
596,-6.96,-7.45,-1.47
597,-6.96,-7.45,-1.47
598,-6.96,-7.45,-1.47
599,-6.96,-7.45,-1.47
600,-6.96,-7.45,-1.47
601,-6.96,-7.55,-1.47
602,-6.86,-7.45,-1.47
603,-6.77,-7.45,-1.47
604,-6.96,-7.45,-1.47
605,-6.86,-7.45,-1.57
606,-6.96,-7.45,-1.47
607,-6.96,-7.45,-1.47
608,-6.86,-7.45,-1.47
609,-6.86,-7.45,-1.47
610,-6.86,-7.45,-1.47
611,-6.86,-7.45,-1.47
612,-6.86,-7.45,-1.57
613,-6.96,-7.26,-1.47
614,-6.86,-7.45,-1.57
615,-6.86,-7.45,-1.47
